ChaosVM Control Flow Pattern Recognition Summary
====================================================================================================

Aggregate Statistics:
  Functions analyzed:    270
  Total blocks:          1066
  Blocks covered:        1066 (100.0%)
  Total patterns:        688
  Loops:                 29 (in 27 functions)
  If/If-else:            374
  If-chains:             0
  Short-circuits:        0
  Try-catch:             144 (in 66 functions)
  Sequences:             141

Per-Function Detail:
----------------------------------------------------------------------------------------------------
  FuncID | Blocks | Loops | If/Else | IfChain | Short |   Try |   Seq | Total
      89 |      9 |     0 |       4 |       0 |     0 |     2 |     0 |     6
      90 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
      91 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      92 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
      93 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      94 |      5 |     0 |       2 |       0 |     0 |     0 |     0 |     2
      95 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      97 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      98 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
      99 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     100 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     101 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     102 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     103 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     104 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     105 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     106 |     16 |     2 |       7 |       0 |     0 |     0 |     1 |    10
     107 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     108 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     109 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     110 |      7 |     0 |       5 |       0 |     0 |     0 |     0 |     5
     111 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     112 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     113 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     114 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     115 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
     116 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     117 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     118 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     119 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     120 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     121 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     122 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     123 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     124 |      4 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     125 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     126 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     127 |     33 |     0 |      24 |       0 |     0 |     0 |     0 |    24
     128 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     129 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     130 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     131 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     132 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     133 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     134 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     135 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     136 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     137 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     138 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     139 |      2 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     140 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     141 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     143 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     144 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     145 |     15 |     0 |       9 |       0 |     0 |     0 |     0 |     9
     146 |      5 |     0 |       3 |       0 |     0 |     0 |     0 |     3
     147 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     148 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     149 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     151 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     152 |      7 |     1 |       3 |       0 |     0 |     0 |     0 |     4
     153 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     154 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     155 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
     156 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     157 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     158 |      5 |     0 |       2 |       0 |     0 |     0 |     0 |     2
     161 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     162 |      8 |     0 |       5 |       0 |     0 |     0 |     0 |     5
     163 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     164 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     165 |     13 |     0 |       6 |       0 |     0 |     2 |     0 |     8
     166 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     167 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     168 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     169 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
     170 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     171 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     172 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     173 |     13 |     0 |       4 |       0 |     0 |     2 |     0 |     6
     174 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     175 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     176 |      4 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     177 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     178 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     179 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     180 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     181 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     182 |      2 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     183 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     186 |     13 |     0 |       6 |       0 |     0 |     2 |     0 |     8
     190 |      3 |     0 |       0 |       0 |     0 |     1 |     0 |     1
     191 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     192 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     194 |      5 |     1 |       3 |       0 |     0 |     0 |     0 |     4
     195 |     16 |     2 |       6 |       0 |     0 |     2 |     1 |    11
     196 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     197 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     198 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     199 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     200 |      5 |     0 |       0 |       0 |     0 |     4 |     0 |     4
     201 |     11 |     0 |       8 |       0 |     0 |     0 |     0 |     8
     202 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     203 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     204 |     11 |     1 |       7 |       0 |     0 |     0 |     0 |     8
     205 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     206 |      8 |     1 |       3 |       0 |     0 |     0 |     0 |     4
     207 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     208 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     209 |     10 |     1 |       3 |       0 |     0 |     2 |     0 |     6
     210 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     211 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     212 |      8 |     0 |       3 |       0 |     0 |     2 |     1 |     6
     213 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     214 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     215 |      7 |     0 |       4 |       0 |     0 |     0 |     0 |     4
     218 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     219 |      8 |     0 |       5 |       0 |     0 |     2 |     0 |     7
     220 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     221 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     222 |      4 |     0 |       0 |       0 |     0 |     3 |     0 |     3
     223 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     224 |      8 |     1 |       1 |       0 |     0 |     2 |     0 |     4
     225 |     48 |     1 |      25 |       0 |     0 |     6 |     0 |    32
     226 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     227 |      2 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     230 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     231 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     232 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     233 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     234 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     235 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     236 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     237 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     238 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     239 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     240 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     241 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     242 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
     243 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     244 |     18 |     0 |      12 |       0 |     0 |     0 |     0 |    12
     245 |      4 |     1 |       0 |       0 |     0 |     0 |     1 |     2
     246 |      7 |     0 |       3 |       0 |     0 |     0 |     0 |     3
     247 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     248 |      7 |     0 |       2 |       0 |     0 |     2 |     0 |     4
     249 |     10 |     1 |       4 |       0 |     0 |     0 |     0 |     5
     250 |     15 |     0 |       6 |       0 |     0 |     2 |     0 |     8
     251 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     252 |      9 |     1 |       2 |       0 |     0 |     0 |     1 |     4
     253 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     254 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     255 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     256 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     257 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     258 |     11 |     0 |       8 |       0 |     0 |     0 |     0 |     8
     259 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     260 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     261 |     10 |     1 |       3 |       0 |     0 |     2 |     0 |     6
     262 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     263 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     264 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     265 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     266 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     267 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     268 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     269 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     270 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     271 |      2 |     0 |       0 |       0 |     0 |     0 |     2 |     2
     272 |      6 |     0 |       3 |       0 |     0 |     2 |     0 |     5
     273 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     274 |      9 |     1 |       2 |       0 |     0 |     2 |     0 |     5
     275 |      5 |     0 |       1 |       0 |     0 |     2 |     0 |     3
     276 |     33 |     1 |      15 |       0 |     0 |     0 |     1 |    17
     277 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     278 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     279 |      3 |     0 |       0 |       0 |     0 |     2 |     0 |     2
     280 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     281 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     282 |      3 |     0 |       1 |       0 |     0 |     0 |     0 |     1
     283 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     284 |      4 |     1 |       2 |       0 |     0 |     0 |     0 |     3
     285 |      9 |     0 |       5 |       0 |     0 |     0 |     0 |     5
     286 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     287 |      5 |     0 |       2 |       0 |     0 |     0 |     0 |     2
     288 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
     289 |      1 |     0 |       0 |       0 |     0 |     0 |     1 |     1
----------------------------------------------------------------------------------------------------
